Validity: 70.40000 % | Diversity: 30.10000 % | Reconstruction: 77.93359 %
Validity: 73.40000 % | Diversity: 28.80000 % | Reconstruction: 78.07568 %
Validity: 71.80000 % | Diversity: 31.10000 % | Reconstruction: 78.30371 %
Validity: 75.00000 % | Diversity: 30.20000 % | Reconstruction: 78.49756 %
Validity: 75.30000 % | Diversity: 33.60000 % | Reconstruction: 78.83301 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.55615 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39062 %
Validity: 77.90000 % | Diversity: 34.60000 % | Reconstruction: 78.94727 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78320 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52490 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.31494 %
Validity: 83.40000 % | Diversity: 35.10000 % | Reconstruction: 78.96729 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77783 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73682 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81787 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84766 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85742 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87451 %
Validity: 89.80000 % | Diversity: 38.40000 % | Reconstruction: 78.99561 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74561 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73193 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70020 %
Validity: 92.60000 % | Diversity: 40.30000 % | Reconstruction: 79.64941 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22852 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98730 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62646 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05469 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84521 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04492 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94775 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.34473 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.29932 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99023 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60059 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81152 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80469 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97363 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93066 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81201 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01904 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58838 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13672 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.34033 %
