Validity: 43.10000 % | Diversity: 19.80000 % | Reconstruction: 63.56885 %
Validity: 85.70000 % | Diversity: 21.00000 % | Reconstruction: 68.53760 %
Validity: 91.90000 % | Diversity: 24.90000 % | Reconstruction: 74.03430 %
Validity: 89.30000 % | Diversity: 21.50000 % | Reconstruction: 77.45813 %
Validity: 89.10000 % | Diversity: 22.40000 % | Reconstruction: 78.28772 %
Validity: 88.30000 % | Diversity: 20.80000 % | Reconstruction: 78.50574 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.33972 %
Validity: 89.40000 % | Diversity: 24.50000 % | Reconstruction: 78.67651 %
Validity: 88.60000 % | Diversity: 22.20000 % | Reconstruction: 78.68298 %
Validity: 88.20000 % | Diversity: 22.30000 % | Reconstruction: 78.70483 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.54541 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56750 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.47852 %
Validity: 90.80000 % | Diversity: 21.50000 % | Reconstruction: 78.80273 %
Validity: 91.20000 % | Diversity: 22.60000 % | Reconstruction: 78.83899 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58069 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58459 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.50000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75244 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63208 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70789 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.57336 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74902 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64661 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.57275 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71826 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71484 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80005 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58179 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71814 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64917 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73169 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66931 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73865 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77832 %
