Validity: 94.30000 % | Diversity: 13.00000 % | Reconstruction: 71.91602 %
Validity: 93.60000 % | Diversity: 12.90000 % | Reconstruction: 74.31396 %
Validity: 89.80000 % | Diversity: 9.70000 % | Reconstruction: 77.81836 %
Validity: 89.00000 % | Diversity: 9.00000 % | Reconstruction: 78.34814 %
Validity: 91.10000 % | Diversity: 9.70000 % | Reconstruction: 78.46680 %
Validity: 88.50000 % | Diversity: 10.90000 % | Reconstruction: 78.51855 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.36133 %
Validity: 89.20000 % | Diversity: 10.70000 % | Reconstruction: 78.70557 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38428 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61133 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39600 %
Validity: 88.30000 % | Diversity: 12.10000 % | Reconstruction: 79.25830 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19043 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89258 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.25342 %
Validity: 89.50000 % | Diversity: 13.90000 % | Reconstruction: 79.33545 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94141 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02051 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10352 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15869 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09180 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.16992 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83105 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09033 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08398 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95459 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97852 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87500 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08301 %
Validity: 94.10000 % | Diversity: 11.70000 % | Reconstruction: 79.33691 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.23877 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00635 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67627 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.33252 %
Validity: 94.40000 % | Diversity: 12.10000 % | Reconstruction: 79.39111 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91064 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15723 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.23633 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.29639 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94580 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13135 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04688 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10498 %
Validity: 95.10000 % | Diversity: 12.50000 % | Reconstruction: 79.50830 %
Validity: 95.80000 % | Diversity: 15.50000 % | Reconstruction: 79.52002 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.21533 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05957 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.27734 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95801 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.48291 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22266 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58154 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84961 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12256 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.35400 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04053 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07568 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79688 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92090 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.23828 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08545 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.40039 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68896 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91357 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98096 %
