Validity: 100.00000 % | Diversity: 1.10000 % | Reconstruction: 72.76221 %
Validity: 100.00000 % | Diversity: 1.00000 % | Reconstruction: 72.87964 %
Validity: 100.00000 % | Diversity: 0.90000 % | Reconstruction: 72.95020 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.73792 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.81421 %
Validity: 100.00000 % | Diversity: 2.30000 % | Reconstruction: 73.06763 %
Validity: 100.00000 % | Diversity: 4.10000 % | Reconstruction: 74.72522 %
Validity: 100.00000 % | Diversity: 3.20000 % | Reconstruction: 76.28943 %
Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 77.15906 %
Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 77.41052 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.38062 %
Validity: 100.00000 % | Diversity: 2.10000 % | Reconstruction: 77.75391 %
Validity: 100.00000 % | Diversity: 2.30000 % | Reconstruction: 78.08582 %
Validity: 100.00000 % | Diversity: 2.30000 % | Reconstruction: 78.27209 %
Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 78.44434 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.33936 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.42432 %
Validity: 100.00000 % | Diversity: 3.00000 % | Reconstruction: 78.49658 %
Validity: 100.00000 % | Diversity: 3.10000 % | Reconstruction: 78.65002 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61804 %
Validity: 100.00000 % | Diversity: 3.30000 % | Reconstruction: 78.68848 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.50903 %
Validity: 100.00000 % | Diversity: 3.90000 % | Reconstruction: 78.78467 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59314 %
Validity: 100.00000 % | Diversity: 4.10000 % | Reconstruction: 78.81946 %
Validity: 100.00000 % | Diversity: 3.80000 % | Reconstruction: 78.89136 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62598 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69690 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66516 %
Validity: 100.00000 % | Diversity: 6.30000 % | Reconstruction: 78.89282 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78613 %
Validity: 100.00000 % | Diversity: 7.00000 % | Reconstruction: 79.00366 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96533 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78601 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90332 %
Validity: 100.00000 % | Diversity: 7.10000 % | Reconstruction: 79.03992 %
Validity: 100.00000 % | Diversity: 7.40000 % | Reconstruction: 79.15222 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80273 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74158 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06030 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92603 %
Validity: 100.00000 % | Diversity: 7.30000 % | Reconstruction: 79.23889 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04517 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10583 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94263 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89795 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13159 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19409 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03345 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91504 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06165 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00720 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97888 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83838 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.16138 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11438 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02844 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99268 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72131 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12109 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19507 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86938 %
