Validity: 69.80000 % | Diversity: 23.20000 % | Reconstruction: 78.12891 %
Validity: 78.50000 % | Diversity: 26.10000 % | Reconstruction: 78.57861 %
Validity: 84.50000 % | Diversity: 28.60000 % | Reconstruction: 78.66357 %
Validity: 86.80000 % | Diversity: 29.80000 % | Reconstruction: 78.92627 %
Validity: 88.60000 % | Diversity: 30.10000 % | Reconstruction: 78.94238 %
Validity: 87.20000 % | Diversity: 31.00000 % | Reconstruction: 78.95361 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73535 %
Validity: 92.00000 % | Diversity: 31.40000 % | Reconstruction: 79.17041 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86963 %
Validity: 95.20000 % | Diversity: 33.40000 % | Reconstruction: 79.20312 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12207 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59131 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00928 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74121 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08496 %
Validity: 96.00000 % | Diversity: 29.50000 % | Reconstruction: 79.49658 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.38965 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07861 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.31152 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98193 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84814 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08350 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.31689 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.45996 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.25488 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06787 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88721 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01074 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.38672 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03467 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77979 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49170 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14453 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.40625 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99170 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95752 %
