Validity: 65.70000 % | Diversity: 41.90000 % | Reconstruction: 66.37354 %
Validity: 60.90000 % | Diversity: 38.00000 % | Reconstruction: 75.58862 %
Validity: 56.50000 % | Diversity: 35.30000 % | Reconstruction: 78.01929 %
Validity: 56.10000 % | Diversity: 35.70000 % | Reconstruction: 78.19385 %
Validity: 55.70000 % | Diversity: 33.20000 % | Reconstruction: 78.57593 %
Validity: 59.00000 % | Diversity: 37.20000 % | Reconstruction: 78.64722 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49023 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.50781 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.55322 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60742 %
Validity: 58.20000 % | Diversity: 36.50000 % | Reconstruction: 78.74023 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64185 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56885 %
Validity: 60.60000 % | Diversity: 36.00000 % | Reconstruction: 78.77148 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63452 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.45728 %
Validity: 59.90000 % | Diversity: 37.40000 % | Reconstruction: 78.94873 %
Validity: 62.40000 % | Diversity: 38.50000 % | Reconstruction: 78.95972 %
Validity: 61.70000 % | Diversity: 34.30000 % | Reconstruction: 79.00146 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84009 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63184 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97632 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77783 %
Validity: 61.80000 % | Diversity: 37.90000 % | Reconstruction: 79.15332 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82983 %
Validity: 63.20000 % | Diversity: 36.50000 % | Reconstruction: 79.22339 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13403 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90430 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59277 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04297 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96802 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73315 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77319 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01392 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68066 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11060 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59790 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04248 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18530 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90479 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98975 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05688 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10376 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99536 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99512 %
