Validity: 29.70000 % | Diversity: 5.50000 % | Reconstruction: 63.53650 %
Validity: 100.00000 % | Diversity: 5.50000 % | Reconstruction: 71.69031 %
Validity: 100.00000 % | Diversity: 4.70000 % | Reconstruction: 72.78394 %
Validity: 100.00000 % | Diversity: 4.10000 % | Reconstruction: 73.05481 %
Validity: 100.00000 % | Diversity: 11.10000 % | Reconstruction: 73.52844 %
Validity: 100.00000 % | Diversity: 9.20000 % | Reconstruction: 76.21667 %
Validity: 100.00000 % | Diversity: 6.80000 % | Reconstruction: 77.38831 %
Validity: 100.00000 % | Diversity: 6.50000 % | Reconstruction: 78.00659 %
Validity: 100.00000 % | Diversity: 6.70000 % | Reconstruction: 78.05664 %
Validity: 100.00000 % | Diversity: 6.30000 % | Reconstruction: 78.28552 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.19360 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.28027 %
Validity: 100.00000 % | Diversity: 5.20000 % | Reconstruction: 78.42542 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.33069 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.41028 %
Validity: 100.00000 % | Diversity: 6.30000 % | Reconstruction: 78.42957 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.27258 %
Validity: 100.00000 % | Diversity: 5.40000 % | Reconstruction: 78.57935 %
Validity: 100.00000 % | Diversity: 6.10000 % | Reconstruction: 78.71741 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.41418 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60461 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66467 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.34558 %
Validity: 100.00000 % | Diversity: 6.90000 % | Reconstruction: 78.79651 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73596 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59912 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69751 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61462 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61816 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63306 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72778 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59863 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78052 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74915 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61011 %
Validity: 100.00000 % | Diversity: 14.30000 % | Reconstruction: 78.85071 %
Validity: 100.00000 % | Diversity: 14.80000 % | Reconstruction: 78.86670 %
Validity: 100.00000 % | Diversity: 14.70000 % | Reconstruction: 78.88977 %
Validity: 100.00000 % | Diversity: 13.60000 % | Reconstruction: 78.90381 %
Validity: 100.00000 % | Diversity: 14.30000 % | Reconstruction: 78.92200 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62439 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91809 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82483 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75110 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89050 %
Validity: 100.00000 % | Diversity: 13.60000 % | Reconstruction: 78.97864 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85938 %
Validity: 100.00000 % | Diversity: 14.20000 % | Reconstruction: 79.00549 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88904 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75183 %
Validity: 100.00000 % | Diversity: 14.70000 % | Reconstruction: 79.09595 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96118 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77783 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06836 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04138 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82104 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08142 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08643 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89258 %
Validity: 100.00000 % | Diversity: 14.50000 % | Reconstruction: 79.17761 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97620 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85620 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10852 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92273 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89661 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14026 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12036 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85193 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15906 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02625 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08850 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03430 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90247 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87109 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88733 %
Validity: 100.00000 % | Diversity: 7.60000 % | Reconstruction: 79.30334 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.24377 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19458 %
