Validity: 61.30000 % | Diversity: 31.60000 % | Reconstruction: 67.77246 %
Validity: 63.50000 % | Diversity: 27.40000 % | Reconstruction: 74.70789 %
Validity: 67.00000 % | Diversity: 28.60000 % | Reconstruction: 77.51733 %
Validity: 67.70000 % | Diversity: 28.00000 % | Reconstruction: 78.33850 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.08936 %
Validity: 68.40000 % | Diversity: 29.40000 % | Reconstruction: 78.43457 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.37891 %
Validity: 69.90000 % | Diversity: 29.80000 % | Reconstruction: 78.52075 %
Validity: 70.90000 % | Diversity: 30.50000 % | Reconstruction: 78.66406 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63708 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38464 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64282 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56274 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39026 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58350 %
Validity: 72.00000 % | Diversity: 29.60000 % | Reconstruction: 78.66492 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.50183 %
Validity: 74.30000 % | Diversity: 28.90000 % | Reconstruction: 78.70703 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68945 %
Validity: 72.70000 % | Diversity: 30.50000 % | Reconstruction: 78.71155 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.33228 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49768 %
Validity: 74.20000 % | Diversity: 31.40000 % | Reconstruction: 78.71216 %
Validity: 73.60000 % | Diversity: 31.20000 % | Reconstruction: 78.81592 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67102 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63892 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69397 %
Validity: 72.70000 % | Diversity: 32.10000 % | Reconstruction: 78.91943 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70532 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.42163 %
Validity: 71.70000 % | Diversity: 31.00000 % | Reconstruction: 78.97290 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94958 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76477 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83215 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76086 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91003 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67444 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63770 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92529 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62024 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81250 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77185 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85461 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86328 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77307 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88184 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62207 %
Validity: 77.50000 % | Diversity: 36.10000 % | Reconstruction: 79.02710 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94775 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76440 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65649 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90039 %
Validity: 79.80000 % | Diversity: 35.00000 % | Reconstruction: 79.16309 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65149 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93115 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03345 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85156 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90991 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92029 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63940 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72144 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08618 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98950 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92456 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71338 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93665 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00098 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93518 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82800 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92236 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03845 %
