Validity: 100.00000 % | Diversity: 3.10000 % | Reconstruction: 75.73535 %
Validity: 100.00000 % | Diversity: 3.30000 % | Reconstruction: 77.74707 %
Validity: 100.00000 % | Diversity: 3.40000 % | Reconstruction: 78.59375 %
Validity: 100.00000 % | Diversity: 3.50000 % | Reconstruction: 78.60547 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.32617 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.03711 %
Validity: 100.00000 % | Diversity: 3.30000 % | Reconstruction: 79.38574 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86328 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12305 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59961 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92969 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.43359 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.47070 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.25098 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06250 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99219 %
Validity: 100.00000 % | Diversity: 6.50000 % | Reconstruction: 79.41699 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80664 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89160 %
Validity: 100.00000 % | Diversity: 6.70000 % | Reconstruction: 79.72559 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73438 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.26270 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.43945 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58691 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.60254 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.48340 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79980 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.28711 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89844 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.30273 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76953 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81738 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90332 %
Validity: 100.00000 % | Diversity: 5.80000 % | Reconstruction: 79.78320 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39941 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.43555 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64746 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14160 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08496 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84961 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05078 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.57227 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12109 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.35742 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05859 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99023 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.39648 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96875 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91895 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52246 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88477 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70410 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.54688 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.41992 %
