Validity: 100.00000 % | Diversity: 1.50000 % | Reconstruction: 73.08606 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.99805 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.55823 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.92078 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.56470 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.65649 %
Validity: 100.00000 % | Diversity: 4.00000 % | Reconstruction: 73.12952 %
Validity: 100.00000 % | Diversity: 5.10000 % | Reconstruction: 74.83899 %
Validity: 100.00000 % | Diversity: 4.00000 % | Reconstruction: 75.90417 %
Validity: 100.00000 % | Diversity: 3.20000 % | Reconstruction: 76.37170 %
Validity: 100.00000 % | Diversity: 2.90000 % | Reconstruction: 77.13525 %
Validity: 100.00000 % | Diversity: 2.60000 % | Reconstruction: 77.66589 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.38782 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.65869 %
Validity: 100.00000 % | Diversity: 2.90000 % | Reconstruction: 77.87329 %
Validity: 100.00000 % | Diversity: 4.00000 % | Reconstruction: 78.22400 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.15698 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.22083 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.15271 %
Validity: 100.00000 % | Diversity: 5.70000 % | Reconstruction: 78.28931 %
Validity: 100.00000 % | Diversity: 5.70000 % | Reconstruction: 78.52466 %
Validity: 100.00000 % | Diversity: 6.10000 % | Reconstruction: 78.72327 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68298 %
Validity: 100.00000 % | Diversity: 6.50000 % | Reconstruction: 78.80774 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.25830 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49597 %
Validity: 100.00000 % | Diversity: 7.50000 % | Reconstruction: 78.82983 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70532 %
Validity: 100.00000 % | Diversity: 9.30000 % | Reconstruction: 78.85803 %
Validity: 100.00000 % | Diversity: 8.30000 % | Reconstruction: 79.00867 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91504 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74536 %
Validity: 100.00000 % | Diversity: 11.20000 % | Reconstruction: 79.05273 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68677 %
Validity: 100.00000 % | Diversity: 14.70000 % | Reconstruction: 79.06433 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79004 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94373 %
Validity: 100.00000 % | Diversity: 17.20000 % | Reconstruction: 79.12195 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79419 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64966 %
Validity: 100.00000 % | Diversity: 27.80000 % | Reconstruction: 79.23328 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.17920 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18091 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83044 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95166 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14954 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09961 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85339 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71814 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.21350 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75781 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06995 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05627 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01575 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52979 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98108 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80005 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95569 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98682 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09497 %
Validity: 100.00000 % | Diversity: 41.70000 % | Reconstruction: 79.36438 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97192 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13721 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.25012 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98767 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22961 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93262 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91248 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.32178 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.25732 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65100 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05676 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06226 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03748 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07678 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19360 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.27246 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80676 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15613 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14514 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.20496 %
