Validity: 100.00000 % | Diversity: 1.50000 % | Reconstruction: 71.22400 %
Validity: 100.00000 % | Diversity: 1.00000 % | Reconstruction: 72.83618 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.62439 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.74182 %
Validity: 100.00000 % | Diversity: 3.30000 % | Reconstruction: 73.26404 %
Validity: 100.00000 % | Diversity: 3.10000 % | Reconstruction: 75.89246 %
Validity: 100.00000 % | Diversity: 2.60000 % | Reconstruction: 77.00427 %
Validity: 100.00000 % | Diversity: 2.20000 % | Reconstruction: 77.61023 %
Validity: 100.00000 % | Diversity: 2.20000 % | Reconstruction: 77.85950 %
Validity: 100.00000 % | Diversity: 2.40000 % | Reconstruction: 77.91064 %
Validity: 100.00000 % | Diversity: 2.30000 % | Reconstruction: 78.29382 %
Validity: 100.00000 % | Diversity: 3.30000 % | Reconstruction: 78.32483 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.27209 %
Validity: 100.00000 % | Diversity: 4.00000 % | Reconstruction: 78.44263 %
Validity: 100.00000 % | Diversity: 4.40000 % | Reconstruction: 78.64355 %
Validity: 100.00000 % | Diversity: 5.30000 % | Reconstruction: 78.68152 %
Validity: 100.00000 % | Diversity: 5.50000 % | Reconstruction: 78.80298 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75610 %
Validity: 100.00000 % | Diversity: 4.90000 % | Reconstruction: 78.89160 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.43103 %
Validity: 100.00000 % | Diversity: 6.30000 % | Reconstruction: 79.01978 %
Validity: 100.00000 % | Diversity: 6.10000 % | Reconstruction: 79.03796 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.36499 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75562 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87720 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70520 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01880 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68835 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56299 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83777 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96265 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77710 %
Validity: 100.00000 % | Diversity: 6.90000 % | Reconstruction: 79.20105 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83350 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65259 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89136 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15063 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87805 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98694 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72144 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92969 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11902 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04285 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05786 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72742 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87268 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04614 %
