Validity: 100.00000 % | Diversity: 3.00000 % | Reconstruction: 73.24463 %
Validity: 99.60000 % | Diversity: 3.00000 % | Reconstruction: 77.35608 %
Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 78.19409 %
Validity: 99.80000 % | Diversity: 2.10000 % | Reconstruction: 78.35339 %
Validity: 99.40000 % | Diversity: 2.10000 % | Reconstruction: 78.38135 %
Validity: 99.30000 % | Diversity: 1.90000 % | Reconstruction: 78.52197 %
Validity: 99.10000 % | Diversity: 1.80000 % | Reconstruction: 78.67322 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.55798 %
Validity: 98.70000 % | Diversity: 1.80000 % | Reconstruction: 78.70862 %
Validity: 98.50000 % | Diversity: 2.20000 % | Reconstruction: 78.92383 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78308 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49915 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78296 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89136 %
Validity: 97.90000 % | Diversity: 3.10000 % | Reconstruction: 79.03308 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52869 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61414 %
Validity: 97.40000 % | Diversity: 3.40000 % | Reconstruction: 79.10571 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94604 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67163 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80457 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91235 %
Validity: 96.60000 % | Diversity: 3.70000 % | Reconstruction: 79.21851 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74768 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68811 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02869 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94702 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85461 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80566 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19727 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11194 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82446 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92627 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11255 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18848 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89062 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93079 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.17017 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88940 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72229 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03906 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02747 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12622 %
