Validity: 100.00000 % | Diversity: 1.40000 % | Reconstruction: 72.81580 %
Validity: 100.00000 % | Diversity: 2.00000 % | Reconstruction: 73.02893 %
Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 77.52014 %
Validity: 100.00000 % | Diversity: 2.00000 % | Reconstruction: 77.69775 %
Validity: 100.00000 % | Diversity: 1.80000 % | Reconstruction: 77.87537 %
Validity: 99.90000 % | Diversity: 1.90000 % | Reconstruction: 78.45972 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.31519 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.10706 %
Validity: 100.00000 % | Diversity: 1.90000 % | Reconstruction: 78.84021 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.48486 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.09363 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63037 %
Validity: 99.90000 % | Diversity: 1.90000 % | Reconstruction: 78.89209 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.27820 %
Validity: 99.70000 % | Diversity: 1.70000 % | Reconstruction: 79.04565 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62671 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.47266 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81384 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95728 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83215 %
Validity: 99.60000 % | Diversity: 4.00000 % | Reconstruction: 79.10559 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.40906 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.35046 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81299 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94397 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88428 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99646 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87573 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.41956 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80603 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09705 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81189 %
Validity: 98.50000 % | Diversity: 3.10000 % | Reconstruction: 79.29651 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64832 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65051 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71521 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.23120 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81274 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86108 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65100 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52039 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05920 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.28931 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91199 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92896 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88806 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63916 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76440 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19653 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76880 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.17517 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94128 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73987 %
