Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 72.65027 %
Validity: 100.00000 % | Diversity: 1.90000 % | Reconstruction: 72.91797 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.63599 %
Validity: 100.00000 % | Diversity: 2.60000 % | Reconstruction: 73.17896 %
Validity: 100.00000 % | Diversity: 3.20000 % | Reconstruction: 75.59509 %
Validity: 100.00000 % | Diversity: 2.20000 % | Reconstruction: 77.00830 %
Validity: 100.00000 % | Diversity: 1.90000 % | Reconstruction: 77.50610 %
Validity: 100.00000 % | Diversity: 2.10000 % | Reconstruction: 78.04187 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.55286 %
Validity: 100.00000 % | Diversity: 1.70000 % | Reconstruction: 78.43164 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.15649 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.22961 %
Validity: 100.00000 % | Diversity: 1.90000 % | Reconstruction: 78.53271 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39172 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.23865 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.47168 %
Validity: 100.00000 % | Diversity: 2.00000 % | Reconstruction: 78.63123 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.44275 %
Validity: 100.00000 % | Diversity: 2.10000 % | Reconstruction: 78.74109 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70459 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38074 %
Validity: 100.00000 % | Diversity: 2.30000 % | Reconstruction: 78.81519 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80212 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64124 %
Validity: 100.00000 % | Diversity: 3.40000 % | Reconstruction: 78.87207 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63721 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52515 %
Validity: 100.00000 % | Diversity: 3.10000 % | Reconstruction: 78.87415 %
Validity: 100.00000 % | Diversity: 3.40000 % | Reconstruction: 79.03198 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73999 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01172 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65540 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.45569 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83630 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97913 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02185 %
Validity: 100.00000 % | Diversity: 4.40000 % | Reconstruction: 79.18188 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64465 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.54163 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07068 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76721 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12134 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83289 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58484 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78003 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09985 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76184 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93542 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89832 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69519 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99011 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08533 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95239 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14587 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83154 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75330 %
