Validity: 36.60000 % | Diversity: 16.50000 % | Reconstruction: 63.85474 %
Validity: 69.50000 % | Diversity: 15.60000 % | Reconstruction: 73.01001 %
Validity: 63.20000 % | Diversity: 11.90000 % | Reconstruction: 78.02808 %
Validity: 63.10000 % | Diversity: 13.60000 % | Reconstruction: 78.56531 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49316 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.34631 %
Validity: 63.30000 % | Diversity: 12.90000 % | Reconstruction: 78.81470 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75317 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58936 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71716 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.50110 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65063 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.44824 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63965 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.51184 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.48096 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72998 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76038 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61060 %
Validity: 70.70000 % | Diversity: 13.40000 % | Reconstruction: 78.89429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.55005 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67395 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77844 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74341 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77332 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63489 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38684 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65295 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73157 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74316 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63928 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72424 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74768 %
Validity: 73.80000 % | Diversity: 13.50000 % | Reconstruction: 78.91016 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80420 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61584 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76733 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71692 %
Validity: 77.20000 % | Diversity: 14.50000 % | Reconstruction: 78.94299 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78564 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64319 %
Validity: 77.80000 % | Diversity: 16.00000 % | Reconstruction: 78.99768 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82800 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97327 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83826 %
Validity: 77.40000 % | Diversity: 16.80000 % | Reconstruction: 79.19910 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05310 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77747 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10559 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95154 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93054 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96887 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81311 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02991 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93945 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10803 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02075 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08350 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88074 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93994 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10120 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00085 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94934 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07825 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02820 %
