Validity: 100.00000 % | Diversity: 2.90000 % | Reconstruction: 72.52539 %
Validity: 100.00000 % | Diversity: 1.60000 % | Reconstruction: 72.91162 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.82690 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 72.86108 %
Validity: 100.00000 % | Diversity: 2.00000 % | Reconstruction: 73.14783 %
Validity: 100.00000 % | Diversity: 4.90000 % | Reconstruction: 75.07422 %
Validity: 100.00000 % | Diversity: 3.60000 % | Reconstruction: 76.80786 %
Validity: 100.00000 % | Diversity: 3.30000 % | Reconstruction: 77.36072 %
Validity: 100.00000 % | Diversity: 3.10000 % | Reconstruction: 77.77991 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.61011 %
Validity: 100.00000 % | Diversity: 5.90000 % | Reconstruction: 78.04578 %
Validity: 100.00000 % | Diversity: 7.50000 % | Reconstruction: 78.32812 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.16162 %
Validity: 100.00000 % | Diversity: 7.50000 % | Reconstruction: 78.38672 %
Validity: 100.00000 % | Diversity: 7.80000 % | Reconstruction: 78.70801 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60645 %
Validity: 100.00000 % | Diversity: 7.90000 % | Reconstruction: 78.85815 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58215 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38342 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68347 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77991 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65356 %
Validity: 100.00000 % | Diversity: 7.30000 % | Reconstruction: 78.97351 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56104 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52148 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89661 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79749 %
Validity: 100.00000 % | Diversity: 9.10000 % | Reconstruction: 79.04797 %
Validity: 100.00000 % | Diversity: 13.60000 % | Reconstruction: 79.09827 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01086 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07751 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95984 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07434 %
Validity: 100.00000 % | Diversity: 16.10000 % | Reconstruction: 79.14038 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10559 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83386 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04224 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90356 %
Validity: 100.00000 % | Diversity: 23.20000 % | Reconstruction: 79.16943 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08252 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93628 %
Validity: 100.00000 % | Diversity: 25.90000 % | Reconstruction: 79.19641 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10876 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94421 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07593 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12317 %
Validity: 100.00000 % | Diversity: 37.20000 % | Reconstruction: 79.22656 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09167 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03613 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15222 %
Validity: 100.00000 % | Diversity: 50.00000 % | Reconstruction: 79.30713 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91394 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89490 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03015 %
Validity: 100.00000 % | Diversity: 27.80000 % | Reconstruction: 79.32971 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03137 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07153 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.16748 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08105 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91028 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15503 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.24841 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22900 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97327 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03149 %
Validity: 100.00000 % | Diversity: 29.50000 % | Reconstruction: 79.39929 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.27466 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00781 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02209 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19446 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22693 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05334 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18481 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11011 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18201 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91370 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08801 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15833 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.33093 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97888 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12256 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.38110 %
Validity: 100.00000 % | Diversity: 64.90000 % | Reconstruction: 79.43054 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.27332 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91736 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.29944 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14233 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.29138 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05042 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15369 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03320 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06824 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86816 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06042 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.24377 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.16101 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.33618 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.34546 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05298 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07056 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.35779 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.20776 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.20459 %
