Validity: 55.60000 % | Diversity: 25.00000 % | Reconstruction: 63.79907 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 63.38013 %
Validity: 40.00000 % | Diversity: 18.40000 % | Reconstruction: 65.64844 %
Validity: 38.90000 % | Diversity: 18.50000 % | Reconstruction: 70.25464 %
Validity: 41.70000 % | Diversity: 17.70000 % | Reconstruction: 74.35437 %
Validity: 41.10000 % | Diversity: 18.40000 % | Reconstruction: 76.60120 %
Validity: 44.20000 % | Diversity: 20.30000 % | Reconstruction: 77.83008 %
Validity: 39.80000 % | Diversity: 17.00000 % | Reconstruction: 78.00867 %
Validity: 43.60000 % | Diversity: 20.10000 % | Reconstruction: 78.33435 %
Validity: 40.70000 % | Diversity: 17.00000 % | Reconstruction: 78.45190 %
Validity: 42.60000 % | Diversity: 19.40000 % | Reconstruction: 78.63867 %
Validity: 42.40000 % | Diversity: 20.00000 % | Reconstruction: 78.71570 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.42188 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.29871 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56250 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.55396 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.47290 %
Validity: 44.00000 % | Diversity: 18.60000 % | Reconstruction: 78.73694 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.50195 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56189 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.54443 %
Validity: 47.70000 % | Diversity: 19.50000 % | Reconstruction: 78.76208 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.46826 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67358 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62317 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64636 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61548 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52100 %
Validity: 49.20000 % | Diversity: 21.40000 % | Reconstruction: 78.77966 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56543 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.40002 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.45447 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64746 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72131 %
Validity: 51.30000 % | Diversity: 21.30000 % | Reconstruction: 78.87061 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79846 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65125 %
Validity: 57.30000 % | Diversity: 21.70000 % | Reconstruction: 79.05591 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.53296 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62659 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68994 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80176 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82166 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99951 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84875 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98901 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81287 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91418 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69006 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81934 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89880 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96375 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94702 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79028 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83850 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86072 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97925 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03125 %
