Validity: 91.20000 % | Diversity: 26.20000 % | Reconstruction: 77.46191 %
Validity: 89.50000 % | Diversity: 24.00000 % | Reconstruction: 78.91797 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.27734 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.33887 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66016 %
Validity: 87.60000 % | Diversity: 21.30000 % | Reconstruction: 78.94238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74805 %
Validity: 87.60000 % | Diversity: 23.00000 % | Reconstruction: 79.05469 %
Validity: 86.40000 % | Diversity: 22.30000 % | Reconstruction: 79.37793 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.21191 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63086 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.28027 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.16211 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.48535 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.26270 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52734 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.24512 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15234 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93457 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.30859 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06348 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03613 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15625 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63770 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02344 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.28809 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07129 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11523 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.20898 %
