Validity: 77.00000 % | Diversity: 20.60000 % | Reconstruction: 78.17285 %
Validity: 71.40000 % | Diversity: 21.80000 % | Reconstruction: 78.59766 %
Validity: 68.50000 % | Diversity: 23.00000 % | Reconstruction: 78.60449 %
Validity: 67.70000 % | Diversity: 22.80000 % | Reconstruction: 78.74023 %
Validity: 66.50000 % | Diversity: 23.00000 % | Reconstruction: 79.22754 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92480 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06055 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.55664 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64062 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70801 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68848 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60938 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82715 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.45508 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10156 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15918 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64062 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08496 %
Validity: 76.80000 % | Diversity: 22.50000 % | Reconstruction: 79.68652 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.56543 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14453 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82617 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.34375 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81934 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.36133 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.37207 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11426 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.35840 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89258 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19922 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14746 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.51074 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.21484 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92480 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.44336 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07715 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77344 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.23340 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.50586 %
