Validity: 66.60000 % | Diversity: 21.40000 % | Reconstruction: 60.36816 %
Validity: 67.00000 % | Diversity: 23.00000 % | Reconstruction: 65.20129 %
Validity: 90.00000 % | Diversity: 23.80000 % | Reconstruction: 67.89709 %
Validity: 94.70000 % | Diversity: 24.30000 % | Reconstruction: 70.66467 %
Validity: 93.70000 % | Diversity: 27.10000 % | Reconstruction: 73.48621 %
Validity: 93.10000 % | Diversity: 22.90000 % | Reconstruction: 75.94751 %
Validity: 92.90000 % | Diversity: 22.50000 % | Reconstruction: 77.41968 %
Validity: 91.70000 % | Diversity: 20.60000 % | Reconstruction: 77.86853 %
Validity: 90.70000 % | Diversity: 19.40000 % | Reconstruction: 78.23828 %
Validity: 89.00000 % | Diversity: 21.40000 % | Reconstruction: 78.25427 %
Validity: 90.10000 % | Diversity: 20.70000 % | Reconstruction: 78.34839 %
Validity: 90.00000 % | Diversity: 20.60000 % | Reconstruction: 78.60254 %
Validity: 90.50000 % | Diversity: 20.40000 % | Reconstruction: 78.64758 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.53320 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.34290 %
Validity: 85.50000 % | Diversity: 20.70000 % | Reconstruction: 78.66003 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.48474 %
Validity: 89.10000 % | Diversity: 22.20000 % | Reconstruction: 78.70630 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58655 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68994 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60376 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64136 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60168 %
Validity: 88.90000 % | Diversity: 19.90000 % | Reconstruction: 78.76453 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.55603 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74585 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64148 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.51709 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75342 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74365 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.46570 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63074 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69275 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69055 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62573 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56726 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70862 %
Validity: 89.40000 % | Diversity: 20.40000 % | Reconstruction: 78.84521 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65808 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64978 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69971 %
Validity: 88.80000 % | Diversity: 19.00000 % | Reconstruction: 78.90369 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75403 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76794 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70007 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63867 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74219 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81226 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85083 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78491 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68042 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79602 %
Validity: 88.30000 % | Diversity: 21.70000 % | Reconstruction: 78.94043 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82446 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93103 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80359 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88159 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88733 %
Validity: 92.00000 % | Diversity: 23.80000 % | Reconstruction: 79.06091 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94995 %
Validity: 92.60000 % | Diversity: 22.20000 % | Reconstruction: 79.10083 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99854 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86938 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98938 %
Validity: 91.30000 % | Diversity: 22.70000 % | Reconstruction: 79.10352 %
Validity: 92.50000 % | Diversity: 25.40000 % | Reconstruction: 79.13367 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82336 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99341 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91101 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98352 %
Validity: 92.60000 % | Diversity: 26.10000 % | Reconstruction: 79.18774 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03271 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88013 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88745 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.11731 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86914 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96765 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13770 %
Validity: 90.80000 % | Diversity: 25.10000 % | Reconstruction: 79.20154 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65125 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10364 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09094 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86340 %
Validity: 92.00000 % | Diversity: 22.50000 % | Reconstruction: 79.22192 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12695 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.12073 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89075 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.05627 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98145 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.14172 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89160 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.21729 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98145 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.19678 %
