Validity: 91.50000 % | Diversity: 23.30000 % | Reconstruction: 64.12036 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 63.61584 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 63.82141 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 63.91443 %
Validity: 56.70000 % | Diversity: 20.00000 % | Reconstruction: 64.25525 %
Validity: 59.40000 % | Diversity: 18.10000 % | Reconstruction: 67.58069 %
Validity: 68.60000 % | Diversity: 21.60000 % | Reconstruction: 71.30872 %
Validity: 73.30000 % | Diversity: 22.20000 % | Reconstruction: 74.69141 %
Validity: 78.30000 % | Diversity: 23.00000 % | Reconstruction: 76.51233 %
Validity: 82.50000 % | Diversity: 25.20000 % | Reconstruction: 77.50281 %
Validity: 83.80000 % | Diversity: 25.60000 % | Reconstruction: 77.95081 %
Validity: 86.70000 % | Diversity: 25.50000 % | Reconstruction: 78.31348 %
Validity: 89.50000 % | Diversity: 22.40000 % | Reconstruction: 78.45569 %
Validity: 89.90000 % | Diversity: 24.80000 % | Reconstruction: 78.54565 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38635 %
Validity: 89.50000 % | Diversity: 25.20000 % | Reconstruction: 78.60071 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39417 %
Validity: 90.60000 % | Diversity: 23.70000 % | Reconstruction: 78.60889 %
Validity: 90.80000 % | Diversity: 23.50000 % | Reconstruction: 78.72058 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63708 %
Validity: 93.10000 % | Diversity: 23.10000 % | Reconstruction: 78.73254 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62341 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60754 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.52356 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.54846 %
