Validity: 69.50000 % | Diversity: 31.50000 % | Reconstruction: 77.47754 %
Validity: 70.70000 % | Diversity: 34.70000 % | Reconstruction: 77.98950 %
Validity: 74.00000 % | Diversity: 33.70000 % | Reconstruction: 78.31567 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.90625 %
Validity: 76.20000 % | Diversity: 31.70000 % | Reconstruction: 78.53296 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.75928 %
Validity: 71.60000 % | Diversity: 33.20000 % | Reconstruction: 78.57495 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.43945 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.25366 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.16748 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.32520 %
Validity: 76.20000 % | Diversity: 33.40000 % | Reconstruction: 78.88306 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.27271 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.24536 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71094 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.33398 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.41113 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.33691 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83838 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38208 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.30786 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.47388 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81006 %
Validity: 77.10000 % | Diversity: 38.10000 % | Reconstruction: 79.28784 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63110 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86450 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88062 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79468 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75586 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94214 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.39478 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63257 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88965 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89038 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87378 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62354 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01587 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82764 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79492 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87646 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.20776 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81494 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67554 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.51782 %
