Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 66.98535 %
Validity: 100.00000 % | Diversity: 2.30000 % | Reconstruction: 73.02222 %
Validity: 100.00000 % | Diversity: 3.40000 % | Reconstruction: 75.63794 %
Validity: 100.00000 % | Diversity: 2.60000 % | Reconstruction: 77.30664 %
Validity: 100.00000 % | Diversity: 2.50000 % | Reconstruction: 77.99658 %
Validity: 100.00000 % | Diversity: 2.10000 % | Reconstruction: 78.41736 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.21277 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.25598 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.14502 %
Validity: 100.00000 % | Diversity: 1.70000 % | Reconstruction: 78.42346 %
Validity: 100.00000 % | Diversity: 1.90000 % | Reconstruction: 78.43518 %
Validity: 99.90000 % | Diversity: 2.10000 % | Reconstruction: 78.59058 %
Validity: 99.90000 % | Diversity: 2.30000 % | Reconstruction: 78.67346 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62329 %
Validity: 100.00000 % | Diversity: 2.00000 % | Reconstruction: 78.74768 %
Validity: 100.00000 % | Diversity: 2.00000 % | Reconstruction: 78.76147 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67920 %
Validity: 100.00000 % | Diversity: 2.40000 % | Reconstruction: 78.78271 %
Validity: 100.00000 % | Diversity: 2.10000 % | Reconstruction: 78.85583 %
Validity: 100.00000 % | Diversity: 2.20000 % | Reconstruction: 78.92578 %
Validity: 100.00000 % | Diversity: 2.10000 % | Reconstruction: 78.94727 %
Validity: 100.00000 % | Diversity: 2.40000 % | Reconstruction: 79.08313 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81018 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93677 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90479 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84167 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87805 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98914 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03625 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87012 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96094 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.01782 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94519 %
Validity: 99.80000 % | Diversity: 3.50000 % | Reconstruction: 79.14307 %
