Validity: 69.40000 % | Diversity: 25.50000 % | Reconstruction: 67.16687 %
Validity: 77.30000 % | Diversity: 28.50000 % | Reconstruction: 76.41736 %
Validity: 76.20000 % | Diversity: 27.40000 % | Reconstruction: 78.13196 %
Validity: 77.10000 % | Diversity: 28.50000 % | Reconstruction: 78.47815 %
Validity: 76.30000 % | Diversity: 25.40000 % | Reconstruction: 78.52551 %
Validity: 76.00000 % | Diversity: 25.20000 % | Reconstruction: 78.57349 %
Validity: 78.00000 % | Diversity: 24.40000 % | Reconstruction: 78.64343 %
Validity: 73.70000 % | Diversity: 27.10000 % | Reconstruction: 78.64648 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59021 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.53979 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61023 %
Validity: 75.90000 % | Diversity: 26.60000 % | Reconstruction: 78.81201 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49023 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65515 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.49121 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.57153 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.38062 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76758 %
Validity: 78.50000 % | Diversity: 27.20000 % | Reconstruction: 78.92688 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71033 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75879 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66272 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85754 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82507 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66931 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73865 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62085 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77234 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83044 %
Validity: 78.30000 % | Diversity: 29.00000 % | Reconstruction: 79.00293 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85803 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91187 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83557 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86487 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81311 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85645 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.88879 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74304 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99097 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86316 %
Validity: 81.60000 % | Diversity: 32.30000 % | Reconstruction: 79.07947 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99597 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85742 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92676 %
Validity: 77.20000 % | Diversity: 31.40000 % | Reconstruction: 79.10754 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09875 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86523 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77454 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96753 %
Validity: 77.70000 % | Diversity: 30.90000 % | Reconstruction: 79.16516 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86511 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97156 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08423 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98584 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82910 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95837 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95056 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78430 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06140 %
Validity: 78.50000 % | Diversity: 38.10000 % | Reconstruction: 79.23120 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13245 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.84290 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02234 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18567 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18384 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89404 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10889 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06970 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09656 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83789 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92383 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09814 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04797 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90735 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95630 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10425 %
Validity: 80.80000 % | Diversity: 43.00000 % | Reconstruction: 79.35608 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99902 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86792 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.09302 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08972 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89661 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00134 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13379 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.24854 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75220 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02283 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.17505 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81641 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89294 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15466 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.16113 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.06299 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.98743 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02722 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.15808 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99536 %
