smiles,logP,qed,SAS
COc1ccc(/C=C2/C(=O)N[C@@H](Cc3ccccc3)C(=O)N2C)cc1,2.2356,0.871322172555021,2.711992226922653
CC1(C)[C@@H](O)CC[C@]2(C)[C@@H](CO)[C@@](O)(CO)CC[C@@H]12,0.9155,0.6023183194576652,4.253536520978793
COc1cc(O)c2c(c1O)[C@H]1OC[C@@H](C2=O)[C@@H]1CC(C)=O,1.5854999999999997,0.8216760950092594,4.684902673664103
COc1cc(O)c2ccccc2c1N=O,2.951900000000001,0.7630640823397934,2.3551430089138066
CCC1CC2CC3C4C/C=C\C(=O)NCCC(O)C5NC(=O)C(=C(O)/C=C/C4CC(=O)C3C2C1C)C5=O,2.389,0.4005865901886395,6.609866590993576
CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,5.842220000000006,0.2251239585788077,5.398974337923413
NC(=O)c1cn(CCO)c(Cc2ccccc2)cc1=O,0.5303,0.8322368206516819,2.353996015171658
CO[C@@H]1[C@@H](CO)O[C@H](Oc2cc(O)c3c(=O)c4c(O)c5c(cc4oc3c2)O[C@H]2OCC[C@@H]52)[C@H](O)[C@H]1O,0.4125999999999994,0.3097693803958466,4.696534562891598
CCc1ccc2c(c1C(=O)OC)C(=O)c1c(c(O)c3c(O)ccc(O)c3c1O)C2=O,2.7866000000000017,0.2930383074017217,2.8247355711997297
C/C=C/C1=CC=C/C(=C2/C(=O)CNC2=O)O1,0.9857999999999998,0.525995254349595,3.925828475348332
COc1cccc2c1CO[C@@H]2C[C@@H](O)[C@@H](O)[C@H]1O[C@@H]1C,1.1657,0.792125754893835,4.116987876342217
O=CN(O)CCCC(NC(=O)C(CO)NC(=O)C1COC(c2ccccc2O)=N1)C(=O)NCCC(=O)NC1CCCN(O)C1=O,-2.869999999999989,0.0520037011048241,4.478292106139098
CC(=O)N[C@H]1[C@@H](OC/C(C)=C2\CC(C)(C)CC3C(C)CCC23)O[C@H](CO)[C@@H](O)[C@@H]1O,1.7454999999999994,0.4999608007358912,4.786382464611444
CC(C)=CCc1c(O)ccc2c(=O)oc(C)cc12,3.3157200000000024,0.8243428368920246,2.6225030241080844
C/C=C(/C)C(=O)NCC1NC(=O)C(C(=O)O)NC(=O)C(O)CNC(=O)C(C(C)O)NC(=O)C(C(O)C(O)C(N)=O)NC(=O)C(C(C)C)NC(=O)C(CO)NC1=O,-9.210900000000018,0.0720053763655181,6.062311201447935
CC(C)=CCCC1(C)OC1CC/C(C)=C/COC[C@H]1O[C@@H](N2CCC(=O)NC2=O)[C@H](O)[C@@H]1O,2.022,0.2419815708583935,4.679195558959703
O=C1Oc2cc(O)ccc2/C1=C\c1ccc(O)cc1,2.5574000000000003,0.4660132015104023,2.3128412512168257
CC(CO)CCCC(C)C1=CCC(C)(O)C1CC1=C(O)C(O)CCC1=O,3.044500000000001,0.4950736116874879,4.8599800119728815
CO[C@H]1O[C@@H](OC)[C@@]2(C)[C@H](OC(C)=O)C(C)(C)[C@@H]3[C@@H](O)C[C@@H](C)[C@H]1[C@@]32O,1.303599999999999,0.7213105212212197,5.190016367291715
CC(=O)C[C@@H]1CC(=O)[C@H](O)CC/C(C)=C/[C@H]2C=C(C)[C@@H](C)[C@H]3[C@H](CC(C)C)NC(=O)[C@@]23C1=O,3.5703000000000022,0.4964989271520871,5.924432274120787
CO[C@H]1CC/C=C/C(=O)Nc2cc(O)cc(c2)C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O,3.686600000000002,0.4602808254037644,5.9207845413800175
COc1cc(O)cc(C)c1C(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H]1O,-0.9645799999999998,0.4566186974046263,3.796725044370125
CO[C@@H]1C(=O)Nc2ccccc2[C@@]1(O)c1ccccc1,1.8896,0.8749702055762858,3.0751662776348567
COC(=O)[C@@H]1c2c(oc3cccc(O)c3c2=O)OC=C[C@@H]1O,1.0221999999999998,0.7574910699549482,4.013543959560261
CC(=O)NC(C(=O)N(C)C(CC(C)C)C(=O)N/C=C\c1c(CC=C(C)C)[nH]c2ccccc12)C(C)C,4.797300000000004,0.3918630483728164,3.884644271033906
CCCCCC(=O)O[C@@H]1C=C2COC(=O)[C@]2(O)[C@]2(C)[C@@H]1C(C)(C)CC[C@H]2O,2.5098000000000007,0.4324499305692628,4.479197766900306
CC(C)=CCOc1ccc(CCO)cc1,2.5664000000000007,0.7501902296320877,1.9507133385841355
CC(=O)OC[C@@]1(O)CC[C@]23C[C@H]1C[C@@H]2CC[C@@H]1[C@]3(C)CC[C@H]2O[C@@H](c3ccc(O)cc3)OC[C@]21C,5.123200000000006,0.5792631312904158,5.99656404583801
COc1c(O)ccc(C(N)=O)c1O,0.2053,0.6103804590647809,2.1752003834929887
O=C1c2c(O)cc(CO)cc2C(=O)c2c(Cl)c(O)cc(O)c21,1.7245000000000006,0.5425068423469789,2.686064947799535
COC(=O)[C@]1([C@@H]2CCC(=O)O2)CC(=O)c2c(cc3c(c2O)[C@@H]2C=C[C@]4(C3)C(=O)c3cc(C)cc(O)c3C(O)=C4C2=O)O1,2.919420000000001,0.356574917029796,6.093041316202115
CC(O)=c1c(O)c2c3c(c1O)c(=O)cc1oc4cccc(=O)c4c(c13)[C@@H]([C@@H](C)CC(=O)c1c(O)cccc1O)[C@@H]2C,4.796800000000005,0.1191814253486548,4.716549087206128
CC1=C2CC[C@@]3(C)C/C=C(\C)CC(=O)C[C@@H](C)C[C@@H](OC1=O)[C@]23O,3.4850000000000025,0.5447091054430292,5.1814460584278885
C[C@H]([C@@H]1C[C@H](C(C)(C)C)C(=O)O1)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,7.71050000000001,0.3223749611531716,5.092927483411259
C/C=C(C)/C=C(\C)C(O)C(C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)cc(=O)c1C,5.982820000000007,0.3578055982312909,4.5768986568472325
CC1OC(=O)C[C@H](C)OC(=O)/C=C/[C@@H](O)[C@H](C)OC(=O)/C=C/C1O,0.0194000000000001,0.466951918131004,4.879984961979037
CC(=O)N1CC[C@]23c4ccccc4N[C@H]4N(C)c5cccc6c5[C@]42CCN([C@H]6C=C(C)C)[C@H]13,4.368700000000004,0.6687399154424842,6.20365496493614
C=CC=C(C)CCC1CC=CC=C(C)C(OP(=O)(O)O)CCCC=CC=CC=CC(O)C(C)C(=C)CC(=O)O1,6.97700000000001,0.139032793208147,5.483942273489189
CC(=O)O[C@H]1[C@@H]2C(=O)c3c(C)cc(O)c4c3[C@@]1(COC4=O)c1c3c4c5c(c(O)cc(C)c5c12)C(=O)O[C@H]4C[C@]1(OC[C@H](C)[C@H]1C)O3,4.542240000000004,0.2889195831196184,6.975123052194607
CC(=O)C=CC1=C(C=CCO)C(=O)OC1,0.5334999999999999,0.5404878723483705,3.5052858392541983
C/C(=C\CO)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)COC(=O)/C=C/C(=O)O,5.288500000000004,0.2334558700822002,3.153551386954525
Cc1c2c(cc3c1C[C@@H](O)CC3)[C@]13CC[C@H]([C@H](C)[C@]4(OC(C)(C)[C@@H](C)[C@H]4O)O1)[C@@]3(C)C=C2,4.651420000000005,0.6189860784019194,6.528591738514453
CC1(C)C=C2c3cc4[nH]c5c(c4cc3C(O)C2C(C)(C)O1)C[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4O[C@@]3(CC[C@]2(C)[C@@]51C)OC4(C)C,5.956300000000005,0.3458138632539747,6.78728153530723
COC(=O)C(O)(C[C@@H](O)C(=O)O)[C@@H]1Cc2c(oc3cc(C)cc(O)c3c2=O)S1,0.5635199999999989,0.5140406918017256,4.472549071116765
CC(C)=CCC[C@@](C)(O)[C@@H]1CC[C@@](C)(O)[C@H]1C,3.2809000000000017,0.7403371772162007,4.204392881550568
C/C=C/CC/C=C/c1c(O)cc(CC=C(C)C)c(O)c1C=O,4.788500000000004,0.3293299480768707,3.323174126417526
C=C1C(=O)[C@]2(OC)C(=O)O[C@@]34C[C@H](C)C(C(=O)O)=C[C@@H]3CCC[C@@H](C)[C@H](O)[C@@H](C)[C@H]1O[C@H]24,2.0438999999999994,0.3742243311155329,7.036192304901951
CC1=C(C(=O)O)[C@H](C)OC1=O,0.3327999999999999,0.5555549168273216,3.3154649456781264
CS[C@@]12C[C@@H]3[C@@H](O)C=C[C@H](O)[C@H]3N1C(=O)[C@]1(SC)C[C@@H]3[C@@H](O)C=C[C@H](O)[C@H]3N1C2=O,-0.8640000000000003,0.3977943123654653,5.937242891362525
COc1cc(C(=O)Nc2c(O)c3ccc(OC4OC(C)(C)C(OC)C(OC(=O)c5ccc(C)[nH]5)C4O)c(Cl)c3oc2=O)ccc1O,3.870220000000003,0.1354417958093078,4.440683137120782
COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)C(OC)OC(C)=C1,1.9829,0.8992835581374968,3.541424120413808
CC(=O)CCCC[C@H](O)[C@@H]1CCC2=C(CC[C@H](O)C2=O)O1,1.6536,0.728178789244506,4.143285836541445
COc1cc(C2=CC(=O)[C@@](C)(c3ccc(O)c(OC)c3)C2=O)ccc1O,2.6081000000000016,0.8200864684594967,3.137438952582368
C=C1C(=O)C[C@@H](O)[C@@H](C)C(=O)[C@@H](O)[C@H]2[C@@H]1CC2(C)C,1.1046999999999998,0.6439545754337449,5.103701155477429
CC(CO)C1=C2[C@H]3C[C@H]4OC(O)(C=C4CO)[C@]3(C)CC[C@@]2(C)C=C1,2.3136,0.693831941549449,6.102990988306914
Cc1cc(O)c2c(c1O)C(=O)C(O)=C(O)C2=O,1.1128199999999997,0.5014161510511667,2.848169029393004
CCCCCCCC(=O)O[C@@H]1[C@@H]2[C@H](CC1(C)C)[C@H](O)C1=C(Cl)C(=O)[C@@](O)(CO)[C@]12C,3.100800000000002,0.3938612386560415,4.775462088142547
CCCCC/C=C(\C)C(=O)O[C@@]1(C)C(=O)C=C2C=C(C3=C(C)CC(O)CC3=O)OC=C2C1=O,3.7314000000000025,0.270278060509925,4.536415090394575
C/C(=C\c1csc(CO)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,3.271300000000002,0.4181938526096118,5.164724403146924
C/C1=C\CC/C(C(=O)O)=C/Cc2cc(ccc2O)OC(C)(C)[C@@H](O)CC1,3.984300000000003,0.6594378006667534,4.863612406526352
