epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,7.076586167017619,11.572534441947937,10.235419273376465,10.456319808959961,0.37867826223373413,10.014518737792969,3.7017207432654686e-07,0.09082391858100891,0.429605465537558,2.5806376387675605,3.7017207432654686e-07,0.8853654886285464
1,6.1195264259974165,10.383442838986715,9.631736755371094,8.76826540629069,0.34885530670483905,10.49520746866862,6.168544928186748e-07,0.18534408509731293,0.4936107322573662,1.85560937722524,6.168544928186748e-07,1.0192413926124573
2,5.638754963874817,9.55063784122467,8.703648567199707,7.394501368204753,0.378785103559494,10.012795766194662,1.0279256912326673e-06,0.29552430907885235,0.5197897627949715,1.7268709987401962,1.0279256912326673e-06,1.0671488444010417
3,5.2089289625485735,8.816544115543365,8.53497346242269,7.652721722920735,0.41573566198349,9.417223930358887,1.7129339084931416e-06,0.4420437415440877,0.5427865609526634,1.6013118276993434,1.7129339084931416e-06,1.1015021254618962
4,4.8998180230458575,8.277894953886667,8.479813575744629,7.517308712005615,0.41417887806892395,9.442316691080729,2.8544293400045717e-06,0.6044210394223531,0.5660103783011436,1.5217378040154774,2.8544293400045717e-06,1.1352007587750752
5,4.594490985075633,7.707745651404063,7.984204292297363,6.570368925730388,0.4169261356194814,9.398036321004232,4.756610906042624e-06,0.7221085429191589,0.5710851674278578,1.481230894724528,4.756610906042624e-06,1.1430030365784962
6,4.276314864555995,7.116100529829661,7.634568850199382,5.956457297007243,0.42222222685813904,9.312673886617025,7.92639002611395e-06,0.8060313661893209,0.5818528681993484,1.4365202089150746,7.92639002611395e-06,1.1291673680146534
7,3.9650154213110604,6.529262363910675,7.20263687769572,5.4793039957682295,0.44621490438779193,8.925958315531412,1.3208464224589989e-05,0.8659714857737223,0.5876717021067938,1.4007538308699925,1.3208464224589989e-05,1.113723446925481
8,3.626197427511215,5.896749595801036,6.9825741449991865,5.471150080362956,0.4730158746242523,8.493978500366211,2.2010388420312665e-05,0.8942353328069051,0.5958810274799665,1.3556212882200878,2.2010388420312665e-05,1.090070401628812
9,3.3097438315550485,5.274614771207173,6.995754718780518,5.573019186655681,0.47770146528879803,8.418456395467123,3.66775639122352e-05,0.9170171618461609,0.5961080566048622,1.3448336869478226,3.66775639122352e-05,1.0694638391335805
10,2.987845242023468,4.6358382999897,6.717110474904378,5.091968536376953,0.48243284225463867,8.342195192972818,6.111799302743748e-05,0.9369368354479471,0.5981131667892138,1.3397876918315887,6.111799302743748e-05,1.0548411856094997
11,2.660000960032145,4.0079314311345415,6.412921110788981,4.958333174387614,0.5118894974390665,7.867410341898601,0.0001018428520183079,0.9684737324714661,0.6016750633716583,1.3119634886582692,0.0001018428520183079,1.0499374270439148
12,2.370995819568634,3.3993300398190818,6.319041570027669,4.527947743733724,0.4968406558036804,8.109968503316244,0.00016969938587862998,0.9822403192520142,0.5949710061152776,1.3424841662247975,0.00016969938587862998,1.0456623534361522
13,2.064020906885465,2.7982881665229797,5.8954644203186035,3.5874481995900473,0.4910561641057332,8.203203837076822,0.0002827550342772156,0.9791621168454488,0.5989201764265696,1.329460437099139,0.0002827550342772156,1.0369008282820384
14,1.7939847807089488,2.283826063076655,5.660430113474528,3.355565627415975,0.5058455467224121,7.964828332265218,0.0004710941284429282,0.9900121490160624,0.6033901870250702,1.3036588231722515,0.0004710941284429282,1.0287993401288986
15,1.5633754432201385,1.8331345617771149,5.267843087514241,2.77967898050944,0.5188492139180502,7.7552337646484375,0.0007847847300581634,0.9859199921290079,0.6040121416250864,1.2928171555201213,0.0007847847300581634,1.0182846834262211
16,1.3831066936254501,1.466974173982938,nan,2.3337455590566,0.4952075680096944,nan,0.0013070814311504364,0.9865317742029825,0.6014766494433085,1.297918975353241,0.0013070814311504364,1.0100731675823529
17,1.2424364934364955,1.1934673885504405,5.137475490570068,1.7149074077606201,0.469047615925471,8.557937939961752,0.002176224486902356,0.9677041172981262,0.6049316997329394,1.289219081401825,0.002176224486902356,1.0047358920176823
18,1.1448833743731182,1.0060170566042264,5.2617842356363935,2.521149237950643,0.5037393172581991,7.998775323232015,0.0036212082486599684,1.0062594016393025,0.6043460021416346,1.280148059129715,0.0036212082486599684,0.9946000476678213
19,1.1081015119949977,0.9219048619270325,4.528761068979899,1.230755130449931,0.5147741238276163,7.820916334788005,0.00601985352113843,0.9718900124231974,0.6046359812219938,1.288347805539767,0.00601985352113843,0.9884585166970888
