Validity: 80.10000 % | Diversity: 15.10000 % | Reconstruction: 79.89714 %
Validity: 82.40000 % | Diversity: 14.50000 % | Reconstruction: 80.05714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.96571 %
Validity: 82.70000 % | Diversity: 14.00000 % | Reconstruction: 80.23048 %
Validity: 82.80000 % | Diversity: 16.10000 % | Reconstruction: 80.83048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.29524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.47619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 80.80762 %
Validity: 83.10000 % | Diversity: 14.50000 % | Reconstruction: 81.00190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 80.73524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 80.64000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.44000 %
Validity: 81.30000 % | Diversity: 14.80000 % | Reconstruction: 81.12190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 81.01714 %
Validity: 83.00000 % | Diversity: 15.10000 % | Reconstruction: 81.38476 %
Validity: 83.50000 % | Diversity: 14.60000 % | Reconstruction: 81.39048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 80.93333 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 81.37333 %
Validity: 84.40000 % | Diversity: 16.10000 % | Reconstruction: 81.94857 %
Validity: 82.70000 % | Diversity: 15.50000 % | Reconstruction: 82.16762 %
Validity: 83.20000 % | Diversity: 15.50000 % | Reconstruction: 82.21143 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 82.06286 %
Validity: 82.50000 % | Diversity: 14.60000 % | Reconstruction: 82.60952 %
Validity: 84.20000 % | Diversity: 15.40000 % | Reconstruction: 82.64190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 82.52381 %
Validity: 83.20000 % | Diversity: 16.00000 % | Reconstruction: 82.89333 %
Validity: 81.30000 % | Diversity: 15.60000 % | Reconstruction: 82.91810 %
Validity: 83.40000 % | Diversity: 15.30000 % | Reconstruction: 83.15810 %
Validity: 83.50000 % | Diversity: 14.50000 % | Reconstruction: 83.64571 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 83.38476 %
Validity: 80.90000 % | Diversity: 16.20000 % | Reconstruction: 83.82857 %
Validity: 81.20000 % | Diversity: 16.00000 % | Reconstruction: 83.87238 %
Validity: 83.20000 % | Diversity: 16.40000 % | Reconstruction: 83.94095 %
Validity: 79.90000 % | Diversity: 15.60000 % | Reconstruction: 84.22667 %
Validity: 78.80000 % | Diversity: 15.40000 % | Reconstruction: 84.47238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 84.44762 %
Validity: 82.50000 % | Diversity: 16.20000 % | Reconstruction: 84.80000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 84.52000 %
Validity: 81.50000 % | Diversity: 14.60000 % | Reconstruction: 85.14286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.10667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 84.93333 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 84.28190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 84.67048 %
Validity: 81.00000 % | Diversity: 16.50000 % | Reconstruction: 85.36190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.18095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.32000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.07619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 84.80762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 84.87429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.33333 %
Validity: 80.00000 % | Diversity: 15.60000 % | Reconstruction: 86.12571 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.72381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.78095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.10857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.81714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.99238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.65143 %
Validity: 80.80000 % | Diversity: 17.70000 % | Reconstruction: 86.37714 %
Validity: 80.10000 % | Diversity: 15.30000 % | Reconstruction: 86.64000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.88190 %
Validity: 80.10000 % | Diversity: 14.60000 % | Reconstruction: 86.74476 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 85.34286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 86.47238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 86.55048 %
Validity: 79.80000 % | Diversity: 16.00000 % | Reconstruction: 86.90095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 86.37905 %
Validity: 79.10000 % | Diversity: 17.30000 % | Reconstruction: 87.00000 %
Validity: 81.10000 % | Diversity: 15.40000 % | Reconstruction: 87.24000 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 86.05714 %
Validity: 77.00000 % | Diversity: 17.40000 % | Reconstruction: 87.33714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 86.98857 %
Validity: 79.00000 % | Diversity: 19.00000 % | Reconstruction: 87.41905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 86.09714 %
Validity: 80.70000 % | Diversity: 16.80000 % | Reconstruction: 87.77905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.53905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 87.56000 %
